상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,PARIS_ID,DISTANCE
MA010120220800082825,프레이그런트디,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,41,경기도,41550,안성시,41550510,안성1동,4155010200,숭인동,4155010200100880000,1,대지,88,,경기도 안성시 숭인동 88,415503208049,경기도 안성시 혜산로,37,24,4155010200100880000019270,동신아파트,경기도 안성시 혜산로 37-24,456708,17588,,1,,127.275135168499,37.0126529322893,35,811.9536456975471
MA010120220801470725,에덴제과,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,41,경기도,41550,안성시,41550530,안성3동,4155011400,금산동,4155011400100480000,1,대지,48,,경기도 안성시 금산동 48,415502000021,경기도 안성시 안성맞춤대로,1101,,4155011400100480000022090,,경기도 안성시 안성맞춤대로 1101,456310,17580,,,,127.269766951478,37.0111511612911,35,449.02625549045496
MA010120220801508589,아브아저씨,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,41,경기도,41550,안성시,41550520,안성2동,4155011800,석정동,4155011800102580009,1,대지,258,9,경기도 안성시 석정동 258-9,415504424394,경기도 안성시 석정2길,18,,4155011800102580009000001,,경기도 안성시 석정2길 18,456240,17578,,1,,127.261225351893,37.0089896262505,35,704.5403141977733
MA010120220801509909,뚜레주르안성금산점,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,41,경기도,41550,안성시,41550530,안성3동,4155011400,금산동,4155011400100810002,1,대지,81,2,경기도 안성시 금산동 81-2,415503208015,경기도 안성시 대학로,74,,4155011400100810002023069,주은청설아파트,경기도 안성시 대학로 74,456704,17569,,,,127.266842972119,37.0149089244445,35,122.194668845028
MA010120220801511999,와이블랙,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,41,경기도,41550,안성시,41550530,안성3동,4155011500,연지동,4155011500101180000,1,대지,118,,경기도 안성시 연지동 118,415502000021,경기도 안성시 안성맞춤대로,1076,,4155011500101180000021797,,경기도 안성시 안성맞춤대로 1076,456320,17589,,,,127.2702110727,37.009360617184,35,626.7371604862116
MA010120220801518570,뚜레쥬르안성당왕점,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,41,경기도,41550,안성시,41550530,안성3동,4155012500,당왕동,4155012500104620001,1,대지,462,1,경기도 안성시 당왕동 462-1,415503208007,경기도 안성시 고수2로,24,,4155012500104620001019883,태영아파트상가,경기도 안성시 고수2로 24,456767,17571,,1,,127.258536806333,37.0150826085423,35,686.3437373178821
MA010120220803142652,제이쿠키,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,41,경기도,41550,안성시,41550510,안성1동,4155010500,구포동,4155010500100620000,1,대지,62,,경기도 안성시 구포동 62,415504424631,경기도 안성시 중앙로411번길,57,,4155010500100620000022790,,경기도 안성시 중앙로411번길 57,456070,17589,,2,,127.273142893018,37.0094597108454,35,798.5240480955781
MA010120220803252737,꽃품은설기,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,41,경기도,41550,안성시,41550530,안성3동,4155011600,대천동,4155011600101470000,1,대지,147,,경기도 안성시 대천동 147,415504424625,경기도 안성시 중앙로379번길,13,,4155011600101470000021473,,경기도 안성시 중앙로379번길 13,456330,17580,,1,,127.268963429571,37.0082265095383,35,685.557581152575
MA010120220806908685,명랑시대쌀핫도그오산누읍점,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56199,간이 음식 포장 판매 전문점,41,경기도,41370,오산시,41370560,초평동,4137012000,누읍동,4137012000105320000,1,대지,532,,경기도 오산시 누읍동 532,413703210137,경기도 오산시 발안로,1356,3,4137012000105320000010400,세란빌딩,경기도 오산시 발안로 1356-3,447160,18127,,,,127.047654613892,37.1410681275381,36,43.84997763994982
MA010120220801467137,케익나라,,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,41,경기도,41220,평택시,41220560,송북동,4122011000,지산동,4122011000107550008,1,대지,755,8,경기도 평택시 지산동 755-8,412203188104,경기도 평택시 탄현로,326,1,4122011000107550008008455,,경기도 평택시 탄현로 326-1,459110,17757,,,,127.056184938068,37.0813654071433,3,749.9910252011996
